Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0054181,3.1494E-05,0.074438,0,0,0,3.6566,0.093914,8.6818E-06,-0.0082304,0.090755,3.4188E-06,0.13406,0,0,0,0,0,0,package://artpark/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://artpark/meshes/base_link.STL,,chasisArt-1,Coordinate System12,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
chassis,0.0054181,3.1494E-05,0.074438,0,0,0,3.6566,0.093914,8.6818E-06,-0.0082304,0.090755,3.4188E-06,0.13406,0,0,0,0,0,0,package://artpark/meshes/chassis.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://artpark/meshes/chassis.STL,,chasisArt-1,Coordinate System12,,base,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
side_plate1,8.3267E-17,-0.0015,-8.3267E-17,0,0,0,0.8912,0.0055992,-9.938E-17,0.0011538,0.018787,4.2411E-17,0.013189,0,0,0,0,0,0,package://artpark/meshes/side_plate1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://artpark/meshes/side_plate1.STL,,plate-2,Coordinate System13,,sp1,fixed,-0.27395,0.213,0.09851,0,0,0,chassis,0,0,0,,,,,,,,,,,,
picker,-0.0081479,0.003007,-0.030744,0,0,0,1.3054,0.019919,2.7653E-05,-0.00040516,0.0018485,0.00010428,0.018506,0,0,0,0,0,0,package://artpark/meshes/picker.STL,1,1,1,1,0,0,0,0,0,0,package://artpark/meshes/picker.STL,,Part2-1,Coordinate System15,Axis4,pic,continuous,-0.015668,-0.21352,-0.027594,0,0,0,side_plate1,0,-1,0,,,,,,,,,,,,
side_plate2,-8.3267E-17,0.0015,2.7756E-17,0,0,0,0.8912,0.0055992,-7.0634E-18,0.0011538,0.018787,3.4177E-17,0.013189,0,0,0,0,0,0,package://artpark/meshes/side_plate2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://artpark/meshes/side_plate2.STL,,plate-3,Coordinate System14,,sp2,fixed,-0.27395,-0.213,0.09851,0,0,0,chassis,0,0,0,,,,,,,,,,,,
motor1,0,-0.080765,-4.8572E-16,0,0,0,1.1451,0.0016251,2.1834E-20,-1.5767E-21,0.00025812,-8.3292E-18,0.0016251,0,0,0,0,0,0,package://artpark/meshes/motor1.STL,0.83137,0.83922,0.83137,1,0,0,0,0,0,0,package://artpark/meshes/motor1.STL,,motor-2,Coordinate System16,Axis_m12,m1,fixed,-0.11085,0.176,0.038,0,0,0,chassis,0,0,0,,,,,,,,,,,,
wheel1,8.2573E-16,-0.0098577,-5.5511E-17,0,0,0,0.34943,0.00052614,7.9115E-19,6.1497E-18,0.0010155,2.9998E-18,0.00052614,0,0,0,0,0,0,package://artpark/meshes/wheel1.STL,1,1,1,1,0,0,0,0,0,0,package://artpark/meshes/wheel1.STL,,Part4-2,Coordinate System17,Axis2,w1,continuous,0,0.064701,0,0,0,0,motor1,0,-1,0,,,,,,,,,,,,
motor2,-3.4694E-18,-0.028001,-1.5266E-16,0,0,0,1.1451,0.0016251,5.8596E-20,7.5488E-21,0.00025812,-8.3678E-18,0.0016251,0,0,0,0,0,0,package://artpark/meshes/motor2.STL,0.83137,0.83922,0.83137,1,0,0,0,0,0,0,package://artpark/meshes/motor2.STL,,motor-1,Coordinate System18,Axis_m22,m2,fixed,-0.11085,-0.067234,0.038,0,0,0,chassis,0,0,0,,,,,,,,,,,,
wheel2,7.6675E-16,0.0098577,3.747E-16,0,0,0,0.34943,0.00052614,-8.49E-19,4.1041E-17,0.0010155,2.6206E-18,0.00052614,0,0,0,0,0,0,package://artpark/meshes/wheel2.STL,1,1,1,1,0,0,0,0,0,0,package://artpark/meshes/wheel2.STL,,Part4-1,Coordinate System19,Axis3,w2,continuous,0,-0.17347,0,0,0,0,motor2,0,1,0,,,,,,,,,,,,
rplidar,0.0057842,0.00062655,-0.019562,0,0,0,0.14299,4.6277E-05,-8.5349E-07,3.6217E-06,7.3474E-05,-2.0431E-07,0.00010796,0,0,0,0,0,0,package://artpark/meshes/rplidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://artpark/meshes/rplidar.STL,,RPLidar_SCTL1-1,Coordinate System20,,rpl1,fixed,0.052154,-0.00013645,0.5646,0,0,0,chassis,0,0,0,,,,,,,,,,,,
